"","Curso","Q50","Q51","Q52","Q75","Q76","Q77"
"116",2019,"- teamwork- more autonomous work-experimental design","- Lack of material- We were told late what we could or could not do due to lack of material- Little time for experimentation.","no","",NA,NA
"117",2019,"Designing the experiments and the relative freedom given to the students.","The organization of the notebook in One Note is a bit confusing.","","",NA,NA
"118",2019,"","","","",NA,NA
"119",2019,"We have learned to develop an experiment almost completely by ourselves. In addition, Rojo (metabolism) has helped us a lot.  ","There was only one booth for working with cell cultures.  ","","When we moved the content from One Note to PDF or word, the formatting did not match, everything got messed up. So now we have to spend a lot of time reordering everything.  ",NA,NA
"120",2019,"The possibility of being autonomous in the laboratory and learning from one's own mistakes","Lack of time to carry out the project","","",NA,NA
"121",2019,"The format of the internship, having given us so much freedom to be able to design an entire experiment on our own.","The lack of availability of some resources such as the culture cabin. we had, in my opinion, little time since we spent the first week with the experimental design instead of starting with the experiments. in addition, the protocols need to be revised.","","",NA,NA
"122",2019,"The freedom to work and when designing the experiment, you learn a lot about the importance of experimental design and the steps that are necessary, controls, etc.  ","Lack of material or workplaces, for example, the culture booth or the microscope were very limiting since there was only one booth for all the groups.","","In general I find it useful to be able to modify it online and that all group members, teachers, etc. can see it and write. The worst thing is the format that makes it very difficult to put the notebook together and clean it, in that sense it is complicated to handle and a lot of time is lost. In addition, the synchronization does not work very well and is somewhat slow.",NA,NA
"123",2019,"We are given a great deal of freedom to design our experiment, which fosters our interest and willingness to work.It is a very similar approach to what I believe our future career will be.It addresses skills often overlooked in the curriculum such as creativity to design experimentsa great deal of approaches to conducting an investigation are offered.","Time constraints prevent many experiments from being carried out correctly, and more emphasis should be placed on the first few days so that the student is aware of them from the very beginning.","","",NA,NA
"124",2019,"Learn to work in a team, to be able to devise your own experiments, to be able to choose the objectives you find most interesting, to get to know how your colleagues work in the laboratory, to establish links,...","Perhaps by focusing on a single working group (e.g. flies) we forget the rest of the topics and we ignore the rest of the results. It would be convenient to have a weekly results sharing among all the groups to know what aspects the rest of the groups are working on and not to find out everything on the last day.  ","","",NA,NA
"125",2019,"It allowed us to get to know more closely the issues of real work in the laboratory, since we were not restricted to a pre-elaborated script. We also learned part of real organization and experimental design from scratch.","","","It is a good system for sharing documents and keeping a progress journal, but it is a terrible text editor and makes sharing other types of formats very complicated.",NA,NA
"126",2019,"","","","",NA,NA
"127",2019,"It made us feel confident working ""on our own"" in the lab and forced us to consider aspects of the experiment design process that we wouldn't have noticed in the traditional model","The teachers should reach a higher level of consensus before telling us what we can and cannot do, because most of the difficulties or confussion we faced during the course was caused by a lack of communication.","","",NA,NA
"128",2019,"-Learning to work in a team and learning that it is not the same as working in a group-Working with students with whom I had not had the opportunity before.  -Learning to organize the daily work in the lab without following a specific script.  -Seeing Modesto and Juan as supports but not as the main guides of our project.  -It has increased my motivation to pursue a research career.  -Going to class eager to learn and interested in continuing with the project.  -Learning to help each other by being aware of your strengths and weaknesses.  -The good atmosphere in the lab by never being afraid to ask questions or answer them.  -Learning that the results are not always as expected (learning to ""fail"" that can occur when running an experiment).","-Some moodle protocols were more focused on other groups and in flies we had to redo them a bit blindly.  -Regarding the notebook, I would have liked to know better how to make it. I think it would be good to have a theoretical class on the model of the notebook and the fundamental aspects that we must capture in it.  -Not knowing at what time you will go home, although I think that's what happens in a real lab....  ","","Not knowing very well at the beginning what to write in each section, an introductory class would be useful.  ",NA,NA
"129",2019,"It allows us to know how to manage ourselves in a more autonomous way in the laboratory, when carrying out protocols and knowing how to make decisions regarding our experiment. Another positive aspect is that I have seen much reinforced learning to work in a team with people with whom you have never worked before. It has also helped me a lot to know how to analyze results and to know how to look for reasons for errors or unexpected things.  ","The lab notebook is not entirely clear with what we have to put in each section. Also that we have observed a bit of imbalance between the workload of the different groups.  ","","The only problem I see with Onenote is that it does not allow to modify properly the images or figures to be added to the notebook and therefore you have to use other applications for these cases.  ",NA,NA
"130",2019,"Working with greater autonomy and on a topic of our choice, as well as being able to decide the next step and live a real laboratory experience more closely.","There was no space in the single flow cabinet for all groups, plus pipettes and some tools were in short supply, such as pipettes. Some protocols should be modified for the future.","","There were many conflicting changes and when everyone was online the connection and synchronization was very slow.",NA,NA
"131",2019,"The best thing about this internship was undoubtedly the teamwork. It has also been very positive that the groups were divided into 5 themes where different approaches were applied, adapting to the needs of each group, because we have been able to study the same route from various perspectives. This has allowed us to go much deeper into the SREBP pathway. Another of the most positive aspects of these practices has been the experimental design adapted to each group, which has made us have to be aware at all times of the steps to follow in the experimental procedure. The teachers have also been very involved in the practices.","The most negative aspect of the internship is that we did not have all the necessary equipment or materials to design any type of approach, in this sense we were a little more limited. In addition, some groups in the same block carried out similar experiments and we overlapped on certain occasions, forming a macro-group that was more similar to the other model of practices, because we did not have so much independence.  ","","",NA,NA
"132",2019,"It is a laboratory work beyond following a protocol. We integrate results with all the equipment which allows us to go beyond our experiment.","It is chaos to find the reagents, Rojo (lab technician) is the only one who knows where things are. Antibody availability problem.","","",NA,NA
"133",2019,"We became aware of a more realistic laboratory work. We work more autonomously.  ","It is a bit chaotic to find reagents and materials sometimes, and when we ask the teachers they don't always know. Sometimes a lot of time has been spent discussing with the class as a whole (with each group) rather than with groups of three and then we had to talk and put things together in the time after class.  ","","",NA,NA
"134",2019,"To be able to think of possible approaches to answer a scientific questionTo learn to calculate the time it takes for each experimentTo think of one's own possible solutions to problems, possible approaches and answers without following step by step all the indications of a teacher, to have independence.  ","Too many people working simultaneously in the lab with few tools and sometimes they collapsed and we lost time (eg: culture cabinet, centrifuges at 4 ° C)It is good that teachers are involved in the experiments, but sometimes so much involvement leads to them to do the experiment and while students watch, their intentions is that so we get results, but forget the basis of the practices. This should not be so because they are our practices and we are the ones who have to learn to manage in the laboratory, if results come out is good, but if they do not come out nothing happens, we simply seek to learn.  ","","The One Note lab notebook had too many confusing sections between them and it was not at all clear to identify what was in each one of them, some of them are redundant, as there are so many sections the workload is enormous, having 4 experiments you have 16 notebooks, and to keep up to date 16 notebooks and have them ready in 3 weeks is quite complicated.  Sometimes the contents are moved and it is a mess to be placing them.",NA,NA
"135",2019,"The teachers and assistants helped us a lot during the process of experimental development and interpretation of results. It was very interesting to have to propose ourselves what we wanted to do and it was very motivating.  ","Generally, we had to stay very late developing the experiments because sometimes we were not very clear at what point to stop.  The general protocols were not always complete and different protocols had to be used. Sometimes it was a bit chaotic. In addition, in the protocols I put values that were not the most appropriate in practice (e.g. loading 200 ug of protein in the gel).  ","","One note for placing images is not the best application. At least in the web version you could not move the images to place them next to the text and then we had to switch from one note to word to make certain modifications.  ",NA,NA
"136",2019,"Freedom to think and propose a field of study according to our personal preferences. It involves an exposure closer to the real laboratory work than the practices in which a pre-established script is followed from which specific results are expected that do not leave room for extensive discussion.  ","Lack of time to develop more rigorous experiments and lack of means that would allow us to carry out our experiments in the most appropriate and rigorous way possible.  ","","It is a useful tool to be able to observe the work done by other groups which helps our work in the laboratory, however, it presents synchronization problems from time to time and it is impossible to write several people in the group at the same time because the changes are not saved. It also does not allow a proper structuring of the images and tables, which results in a document that is too long and difficult to visualize.",NA,NA
"137",2019,"First of all, it is very positive that we can choose the group in which we want to do the internship, in my case flies. The fact that we cannot choose the group, and that it is random helps us to learn to work in a team and to get to know our colleagues better.  On the other hand, it simulates very well how a real research laboratory works, not like in other practices that we have been able to do before.  ","Right now I don't think there are negative aspects, there are negative things but despite that they have helped my learning.  ","I really liked the internship, I think it has helped me on a personal level to evaluate and realize what skills I have (and that I thought I didn't have) and what other aspects I don't have so integrated.  For all this I think it has been fundamental and decisive the group of colleagues (both at the level of group ""Mosquiteros"" and ""Moscas"" in general) and teachers, who have been very concerned about our learning and to create an atmosphere of trust and companionship.  ","For day-to-day work, I found it very useful because it allowed us to enter the information corresponding to all the members of the group, which saved us a lot of time.  In addition, being in the cloud we could not lose the corresponding information, which gave us a lot of security in this aspect.  For me, its usefulness is essentially for daily work, while for the final version it was easier to transfer the information to a word document to organize the layout of the paragraphs, the necessary pages...  ",NA,NA
"138",2019,"- Greater freedom in the design, preparation and development of an experiment - Greater cooperativity and need for organization within the team - Closer resembles a general laboratory work environment - Encourages personal development in laboratory work and favors the freedom to distribute work, carry it out and propose new alternatives.","- Lack of time to plan more experiments and to carry out others that require a longer period of time to obtain reliable and useful results.","","",NA,NA
"139",2019,"After doing all the work, regardless of the results, I feel more satisfied than with the traditional method because from the beginning we have been working on the experiment ourselves, devising the hypothesis, designing it, etc. Besides, this method is more ""real"", it is more adjusted to the reality in a laboratory (e.g., modifying the protocol as we found problems, discarding techniques due to the high cost, optimizing the work, organizing our timelines...).","On many occasions the materials were not sufficient (e.g., the oligos designed by us never arrived, we had to go stealing pipettes between the different tables, etc.). Many times the different teachers would tell us contradictory things and we did not know how to proceed or which one to listen to the most.  ",".","We could not write the different members of the group at the same time (unlike in one drive where you can), because if we did it there were conflicts and the changes were not saved. Sometimes, even if I was alone working in one note, the changes were not saved. It is difficult to place the photos (for example you can not put one next to another) and then when copying the contents of the note to word the photos were not copied, so I had to copy them one by one, which consumed a lot of time.",NA,NA
"140",2019,"The most positive aspects include being able to think and develop your own ideas, even if these are not ultimately implemented. Learning to work as part of a team is also an important issue that is acquired in this type of internship.  ","Too much time wasted on introductions. The first week could be more usable to start experiments that require a long period of time. The freedom we were given at the beginning in terms of experimental approaches was not as such because of the constant presence of many interns supervising everything we do. It would be better if they did not plan our practices so much, because in the end you learn more from the mistakes you make because you think that this was the right procedure to follow.  ","","",NA,NA
"141",2019,"The variety of groups (flies, yeasts...) and the large number of questions that can arise within each group allow us to engage with a topic that interests us (even if it is only because we are interested in learning how to perform a certain experimental technique).","","Information on available antibodies should be updated to make the experimental design easier.","- The ""conflicting changes"" caused some colleagues to have changes they had made to their papers disappear - While the word limit is useful for background, it should be more flexible for discussion of results and future experiments.",NA,NA
"142",2019,"They are very different practices that I consider very useful because they go out of the ordinary, it helps you to know how to react to unforeseen events that arise in a real laboratory, beyond following a script that you are given beforehand. Also, the fact of having to design your own script is super useful, I was not really aware of how costly it can be and all the factors that have to be taken into account, so I consider that in this sense I have learned a lot.  A much more useful practice than following a script that is already given to you.  ","The working instruments are quite limited, especially the use of the flow cabinet. More booths are needed considering that we work practically all the groups with cell cultures.  The use of OneNote I think has not been adequate on the part of the professors, if we are using it instead of other tools that also allow us to make a collaborative notebook, so that we can all see it, it would not hurt for the professors from time to time to take a look at the notebook and tell us what is wrong, what is right and where we can improve.  I also think it would be good if the interns who come to the lab could be distributed a little better or be a little aware of what we do or don't do, because since there are so many of them, sometimes it is a little stressful that there are so many people in the lab and they can't help you.  ","Rojo is an exceptional teacher, she has worked a lot, more than her share on many occasions. Some of the other teachers have limited themselves during the internships to walk around and come from time to time.  ","The tools it uses are a bit bad compared to Word, the fact that you cannot scroll tables, justify text....",NA,NA
"143",2019,"The freedom to choose a question forces you to learn more about the topic you are going to study.","Just as giving us the freedom to choose our biological question is a good thing, the time we have had to think about this biological question has been insufficient, in the case that this question was not already known (I mean that we already knew things about SREBP, but if the biological question goes beyond the basic regulation that we already know about this protein and experiments that we know in advance what should come out as results, the time is insufficient to optimize the conditions of the experiment to be performed.","The time/material limitations we have are not made known until we get to work. It would be nice if, within the freedom they give us, they would limit us in terms of possible controls, time etc. before we get down to work.","Each teacher has a different interpretation of what to include in each section. Especially in the Experimental DEsign and Procedure sections, each teacher has interpreted a different content with which we had to complete.",NA,NA
"144",2019,"Having worked separately, we have been able to work in small groups and have a greater possibility of personalized teaching and practice.  ","Too much work in terms of having to do 4 parallel notebooks, a cooperative way of working among all of us was proposed in order to obtain more results and thus be able to make a ""conclusive"" study. It did not seem to me to be a good method because we could not all follow all the experiments and learn the same thing.  At the same time, it seems to me that the experiments should be carried out by the students, even if there is a risk of not getting it right.  ","For other years, I would avoid dispersing the work so much and looking for replicas (it is not real that they all come out, therefore it is not real to be able to make a statistical analysis) and I would advocate that each small group should propose its hypothesis and make its notebook, because in the end we could not complete each of the notebooks individually because each one had made a part.  ","I would prefer a notebook with only two parts, one of hypothesis approach .... and a second one with raw data, processed conclusions and discussions, since having 4 it was confusing where each thing should go, it seemed that certain things had to be put in duplicate and it was not clear which had to go in which part.",NA,NA
"145",2019,"Group work and cross experiments with other groups of 3 within transcriptionGroup work (3 people) instead of in pairsGroup and not individual notebook submissionFreedom in setting up our hypotheses and experiments","Reduce the number of experiments because the Transcription groups did a total of 4 lab notebooks at the end as opposed to most of the other groups that did only one delivery.  Generalize the methods of analysis, for example, all the groups that could apply statistics to their data should do it because I think that in the end some of us worked more than others in that sense.  Receive more feedback in the notebook, at least weekly.  ","","OneNote has been very useful but a small introductory course more extensive than the simple guidelines that you communicated to us on the first day should be given before the internship.  I think that the involvement of each person in the lab notebook should have a percentage of the grade, even if minimal, that is, the amount that each one covers in the notebook and the daily time that he/she dedicates to it.  ",NA,NA
"146",2019,"Freedom in the experimental approach","Differences in the number and type of experiments between the groups","","",NA,NA
"147",2019,"Work on experiments designed by ourselves, on things that interest us.","More time and freedom to choose the initial hypothesis.OneNote continually deleted things we wrote if we did it at the same time.","Have more days, because if the results are bad after many days of work, there is no possibility of repeating it due to lack of time.  Instead of using OneNote, use another application that allows you to work online without any problem.","The main drawback was that it did not allow us to write to several people at the same time in the same section, and if we did so, the written part was erased and the information was lost, being impossible to recover. In addition, the synchronization was very slow.  On the other hand, the template was very useful to know where to write each section, although some were a bit confusing. It is also very favorable that the teachers can see it at all times and add comments, although it would have been appreciated if more contributions had been made on their part to improve the notebook.",NA,NA
"148",2019,"What I would highlight the most is the general approach given to the practices: having to ask questions, raise hypotheses and experimental approaches to draw conclusions. There is also a greater sense of responsibility for what is being done, since there is more interest in obtaining desired results.","Somewhat reduced availability of resources, due to time and cost.","It seems to me a necessary approach to practices, because you learn and acquire skills that the traditional method does not.","",NA,NA
"149",2019,"To be able to design the experiments, to pose hypotheses and the questions we want to answer, and to have the freedom to do X experiments with their replications and experimental modifications.","At the end of the course, I have the feeling that I have done practically only laboratory notebooks. From my point of view, I would decrease the workload from home. This may have happened because of the amount of experiments we had, so I would also emphasize that you have to do fewer experiments and approach one or two (doing more replicates). in turn, I think you should work more in the assigned group because at the end of the practices you may not have found out what the rest of the members of your group have done.","In some experiments (due to lack of time most of the time, although it was also done because previously no results were obtained), we were not allowed to manipulate the students who were doing that experiment. I think we have to learn to manipulate (even if things don't turn out well) and to know where we failed so that, in case of replication, we can change the way we work. Also, just because an experiment is not successful does not mean that it was not useful for the practices.  ","The template has redundant sections (such as protocol and protocol modifications) where you put the same thing several times.  As an advantage, I would say that it is not necessary to adjust the tables, figures... to a page, so it is easier to insert. I would also add that the fact of being able to see the notebooks of the other groups allows you to complete the notebook in a more complete way. It also allows you to collaborate with members of other groups (for example, you can see their protocol and compare results).",NA,NA
"150",2019,"It is the kind of internship that brings you closer to the real life of a laboratory.","There is a lack of resources, such as laboratory equipment, incubators, etc. On the other hand, the change from last year's traditional method to the current one is very radical and can generate insecurity and indecision in the students.","","",NA,NA
"151",2019,"Autonomy when choosing an experiment and elaborating an experimental design for it. As well as teamwork with colleagues, it helps to understand certain aspects better, and to reflect on them as a whole. This way, there are more contributions and we all become more enriched.","The duration is not long enough, as well as the availability of certain compounds that prevent us from performing the necessary controls to provide credibility to the results.  ","Some of the interns were very nice and tried to help us whenever we asked them to.","Advantages: real time synchronization so that we see everyone's work and there is no way to lose the work as it is stored on the network.disadvantages: the application was hung on several occasions",NA,NA
"152",2019,"This type of internship gives the student autonomy and confidence in experimental work in a context closer to reality than the traditional model of internships, which is very necessary in my opinion.  In addition, it provides a real vision of experimental design, time organization, collaborative and integrative work and its associated problems. Also the work with professors and interns is much closer, which in my opinion facilitates the internalization of learning.  ","In my opinion, the duration is too short.  On the other hand, in our group it would perhaps be necessary to have more sharing meetings, since covering so many experiments made it difficult to visualize the whole.  ","","In my opinion, with One Note, although it is very practical, certain editing tools that could be useful when presenting a laboratory notebook are lost, on the other hand, the organization of the ""Template"" is sometimes confusing. I think that a complete homogeneity in the structure of the work is neither possible nor necessary, but that a series of essential points to be reflected in it should be proposed, but giving freedom when structuring it.",NA,NA
"153",2019,"This type of approach when taking a subject is very useful and I think more effective than the traditional one. In the traditional method the hours spent in the lab are perceived as ""wasted"", while outside the lab it takes many hours both to do notebooks and to understand the processes previously done in the lab. The less conventional method implies that you have to understand each step you perform in the lab and forces you to make decisions, which simulates working life.  ","I could say that the time spent to perform the experiments has been more than expected/desired, but at the same time the desire to continue learning about it made me not mind staying longer than expected, also realizing the real time that activities in a laboratory take.","The role of the internship assistants seems to me to be very important, since they guide you in your decisions, even though they are still your own. Their attitude and their desire for you to learn helps a lot, because it increases your own.  ","",NA,NA
"154",2019,"It has been a good idea to do collaborative experiments among the main group, it allows us to touch more things to each other and have replicas of the experiments.Working in groups of 3 is much better than working in pairs or in larger groups, because you can organize the members more easily and be aware of what the rest are doing.The help and attention received by our teachers (Luis and Benilde) as well as by the assistants (Laura, Sandra and Jesus) has been very useful to solve the problems that have arisen. It is very appreciated that there are people supervising and worrying about how we carry out the experiments, both group and individual.","It would be good to have more feedback, for example, on a weekly basis, and not only to share what has been done, because it could be that we have not understood well the distribution of the notebook. It could also be that we dragged a failure and we can not know until the end of the practices.The number of experiments should be reduced, around 2 or, at most, 3 of them.  It would be good to have in the Statistics class on the second day, more specific concepts such as, for example, how a statistical analysis is performed.","","Pros:Having the contents online and synchronized allows the other members to see how each member's part is going, and allows them to be aware and lend a hand to the other members of the group of 3.It is good to be able to see the notebooks of the other groups to see how they are progressing.Cons:The notebooks should be protected, in order to prevent the other groups from copying directly from other notebooks.The time that each member participates editing the notebook should have a percentage in the final grade of the notebook.",NA,NA
"155",2019,"I really enjoyed having so much freedom to do experiments, to be able to design subsequent experiments based on my results, to compare and share information, oligos and even some experiments with other groups.    The daily sharing has been very useful but maybe it could take a little less time. in general, working with flies and larvae, which is something we had never done before, has been very educational for me.  ","On the first day the introduction and the time to go to the board seemed to me to be a bit too long that maybe we could have merged the statistics talk on the same day. And I missed a little more explanation of the focus of each group in the initial talk.  ","Very useful the BioRender program which we did not know. I would include more programs of this type in the common resources to have several options.  Although we stayed many days until much later than the stipulated time was quite tiring at the time, I think it was one of the best things about the internship.  ","It seems to me that one of the most useful things of OneNote has been to be able to consult the notebooks of other groups since there were experiments that overlapped and to be able to consult their protocols and above all their conclusions, which affected our experiments, is very useful. In addition, having the templates has helped us a lot among the three members of the group to agree on how to orient the notebook.  As for negative aspects, the only thing to mention is the speed of coordination of the conflicting changes. But overall quite good.  ",NA,NA
"156",2019,"A little more autonomy in the laboratoryAddressing an experimental design and trying to find solutions to the problems that arise.  Interpret erroneous experimental data.  Knowing how to make the necessary calculations for the protocol that in the traditional model were given to us.  ","The time allotted for the subject may be a bit short considering that the experiments are not successful the first time they are performed. This year's use of the one note may be a bit difficult because if several people were writing at the same time, some changes were not saved.  ","More information on the reagents or antibodies used in the experiments should be available to avoid the experiments not going well.  ","Conflicting changes caused some of our work to be deleted.  ",NA,NA
"157",2019,"Freedom in choosing the experiments and performing them. The confidence with the teachers and the general attitude in the laboratory. The method used has been very useful to maintain the curiosity, interest and desire to continue learning by working.  ","Experiments should be better designed for the time proposed, so as to avoid excessive and routine overtime.  ","The experience of this internship has been the most positive thing I have felt since the career started. It feels like we have independence for the first time and we don't just do what we are told to do. The lab environment has been very positive and has personally encouraged me about my career.  It feels like we are finally doing science after studying so many hours and years of theory.  ","Very much in favor of using this tool. I knew about it but had never used it before. It has helped us a lot and there were hardly any problems with synchronization and version conflicts.  I will continue to use it in the future.",NA,NA
"158",2019,"Luis, as a teacher, has been very involved in everything, learning how to design experiments and prepare a protocol by ourselves.","In our case, as we did everything in groups, some people had empty days while others were quite saturated, especially the first days. It would have been better to have spent more time dividing the work among the different members of the group.in transcription we have done 4/5 experiments, which entails a much greater workload than in other groups, due to the approach that has been taken that all groups perform the same experiments. This is not something negative in itself, because we have done more experiments, but we have been quite saturated with the completion of all the notebooks, and that has taken us time to properly prepare the final exam.The explanations of how to state a hypothesis on the first day have not been clear, having discrepancies between different teachers on what is the best way to raise them and what is and is not a valid hypothesis.The explanations on statistical data analysis at the end of our block would have preferred them at the beginning, as a general class, or in general expand the initial class of statistics.","It would be nice to know what reagents we have available from colleagues from other years on the first day, so we know where we can start from when conducting experiments. (We have been informed about this, but we did not have a complete list of all the reagents, and that might have directed us to different experiments.)","Pros: online, structured, etc.Cons: there have been synchronization problems, both between group members and between the same person, for some reason. We had to work on separate sheets or in word and agree to use one person on each page at the same time, so that there were no problems. The formatting issue in onenote is awkward, and in some versions of onenote you can't edit some things, in general the idea is fine, if you could find a different alternative that does the same or similar, but doesn't have these drawbacks, it would be much better.",NA,NA
"159",2019,"Freedom to experiment","None","No","One note moves photos and texts by itself and sometimes deletes things you have just written.",NA,NA
"160",2019,"The method is much more autonomous, allows you to develop your creativity and answer questions that you have a real interest in. This, in my opinion, makes the students much more motivated, for example to look for literature at home, to ask relevant questions and to find the best way to perform the experiment. You design the whole experiment yourself, from the protocol to the relevant controls, which helps to understand the importance of performing all these steps correctly. In addition, you learn to reason what controls are missing, why some experiments are better or worse at answering a certain question, which you don't learn with a traditional internship where you are given the protocol and you follow it just like you follow a recipe.  ","In my opinion, more feedback time is needed after each session, to comment among all the members of the group what we have done, what has failed and what we could improve for the next time, as sometimes there is a bit of confusion and you don't really know what each member of the group is doing. I think this could help you learn more, especially about techniques or things that you haven't thought of or haven't done but that other colleagues have.On the other hand, I think there should be some kind of cross-sectional comparison between the different groups (flies, metabolism, etc), and give a small percentage of evaluation based on the comparison of different points. For example, transcript has done statistics, and has not given for good results that are not statistically significant, however, most other groups have not taken statistics into account. Or, perhaps, there are groups that have very rigorously detailed everything they have done each day and groups that have not, or groups that have only one poorly developed notebook versus groups that have up to 4 well-developed notebooks. In my opinion this should be taken into account to ""standardize"" a bit the evaluations between the different groups and try to make the transversal competences (statistics, notebook, etc) of all the groups as homogeneous as possible. Because otherwise, depending on the teacher you get, in my case, Luis, you learn a lot of statistics, but if you get another teacher you may not learn anything about statistics but you learn how to perform the most appropriate controls (in the case of Jose in the yeast group), and I think we should try that everyone acquires these ""basic"" and essential skills. Perhaps this evaluation could be done by teachers from different groups of students (one from each group) and then make the average between the grades assigned by all teachers. In addition, this could make teachers more aware of what is done, and how it is done, in the other groups, and think of aspects to improve in their own.","Luis has been an excellent teacher. Congratulations.","It is not fair that people can copy each other... in the case of transcription that we have all done the same experiment I have been aware that other groups copied images that I had designed in their notebooks, copied the protocol, the materials, the discussion, the future experiments... And it is true that it can be positive in some aspects: learning more about what other groups do, which gives you new ideas, helps you to improve... but I consider that, all in all, the negative aspects outweigh the positive ones, since seeing that you are being copied and nobody is going to notice (because you don't know who wrote it first) doesn't seem very fair to me.  ",NA,NA
"161",2019,"With these practices we experience the reality in a laboratory, we appreciate the limitations and how to manage them.  The teamwork is very novel, mixing people, not as we want.  The approach of this internship is great.","The selection of people is terrible. It is not adequate that we have to eliminate people we don't want to be with, it seems to me to bring out the worst in people, to look for their defects. It would be better to choose those with whom we think we could work better, for example, if in the metabolism group there are 10 people, 9 without you, you have to put at least 6 with whom you could work. But not to put with whom not directly.  There should be one fellow per trio, specialized in the case of that group, to be able to help fully. Because sometimes the fellows didn't have much idea how we had to proceed.  I hope that the great participation and commitment of the teachers is taken into account, because they have been an excellent support. Except for some, who came very occasionally.  There were few flow booths and microoscopes.  The protocols are confusing, since they are not identical to the ones we performed, which gave rise to confusion.  I am not very clear about the format of the final exam, but for example, there are experimental procedures (processes such as qPCR, etc.) that, not having done them during this month of practice, I am lame, and I think that can influence the interpretation of experiments in the exam.  ","","OneNote has worked well but you could try other systems such as MicrosoftTeams, or directly sharing a Word document or any file, which is more practical when it comes to having it in the final format (it can be done from the document itself, top right share, it works very well). In the end this is what we have ended up using to clean the report.",NA,NA
"162",2019,"One of the best aspects is that the practicals were done after the theoretical classes were finished and therefore we could focus on that exclusively. Also, they were a more different dynamic with more freedom in the lab which made us think more about the procedure we were doing, rather than just following a simple script.  ","the demand of all the groups was not the same, and I consider that the daily hours are not enough to be able to carry out all the experiments. the laboratory was very messy, sometimes it was difficult to find the reagents and if several groups needed to use the same material, this was sometimes very limited and made us lose time.  another aspect that seems unfair to me is not being able to choose partners, not in the sense of working with new people, but because at the end 1/3 of the notebook grade depends on what other partners who have done another experiment have written. in other words, since each member of the group is doing different experiments, we depend on each person to do their part of the notebook. in addition, a person can have done absolutely nothing and be given 70% of the grade.  ","I think that each group should share their ideas to analyze the protocols to follow and avoid making mistakes that would not have happened if they had known about them.  ","OneNote works well for working in groups when people in the group are not writing about the same section, as the synchronization time is very slow. also, it does not seem fair to me to be able to see the notebook of other groups when these groups are doing the same experiment, as they can copy from what is written by other groups. for example, you can copy the results or just the procedure through which the results were acquired without spending time thinking.  ",NA,NA
"163",2019,"To be able to have the initiative of what experiments we want to perform and how we want to perform them. We have been responsible for our actions, and that any results, whether successful or unsuccessful, would be to our credit.  Also, at all times I have had the feeling that any idea would be well received.","On some occasions it has been necessary to stay in the laboratory for more hours than planned. This, to a large extent, is our fault, since we are the ones who designed the experiments.","","",NA,NA
"164",2019,"Unlike other years, it has allowed us to be more independent when designing an experiment, thinking by ourselves how to prove a hypothesis, carrying it out, seeing and interpreting results, knowing how to identify possible errors in case the results are not as expected, etc. In addition, some teachers like Rojo have helped and motivated us a lot.    ","In the case of our particular experiment the time we had was very limited. Also the fact that we only had one culture cabinet and one microscope slowed down all the groups a lot, so there was a lot of time when we couldn't do anything and then we had to stay longer.  ","","It is useful to work in a team with the same experiment and also to be able to see the rest. Sometimes the synchronization was a bit slow and when it was time to reload the page or upload images, for example, it took a long time. Some of the sections, such as the first one (experimental design, protocol...) or the results (which appeared up to 3 times) in our opinion overlapped a lot and we did not know well what to put in each one.    ",NA,NA
"165",2019,"Having to design your own experiment leads you to ask yourself questions, not just follow a script, which favors learning by having to search for the necessary information. During the experimental design, and sometimes even more so during its execution, obstacles arise that were not taken into account at the beginning, such as controls to be carried out or time organization issues, which have to be dealt with, and this allows us to obtain tools to face similar situations in the future. working with randomly selected people favors the ability to work in a team and adapt to ways of doing things that are different from one's own.","The laboratory materials are scarce, sometimes lacking pipettes, for example, and are old in general. A single culture cabinet is insufficient for so many groups, which limits the number of experiments that can be carried out. Perhaps the experiments could be started in the first week, with 3 days to design them.  ","","Pros: makes it easy to work in a team from home. It is comfortable and has useful functions.cons: some functions present in the word at the time of editing images or tables are not in the one note, which makes editing difficult. Sometimes it crashes when entering from some computers.  ",NA,NA
