Respuesta;Enviado el:;Institución;Departamento;Curso;Grupo;ID;Nombre completo;Nombre de usuario;Completado;Q00_Group;Q00_equipment->We had sufficient amount of small lab equipment (e.g. pippettes, cuvettes,...);Q00_equipment->Access to general instruments/equipment (e.g. PCR, laminar flow hoods)  was limiting;Q00_equipment->Lab equipment was well mantained/modern;Q00_Length and schedule->The course is too long;Q00_Length and schedule->The period allocated for the course within the term is appropriate;Q00_Length and schedule->On average, the number of hours per day is sufficient;Q00_General methodology->student engagement;Q00_General methodology->course interest;Q00_General methodology->course usefulness;Q00_General methodology->demand on student's part;Q00_General methodology->course difficulty;Q00_method_objectives->State a hypothesis;Q00_method_objectives->Design an experimental strategy to answer specific biological questions;Q00_method_objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q00_method_objectives->Write an experimental protocol including all relevant controls;Q00_method_objectives->Execute an experimental protocol;Q00_method_objectives->Record, analyze and interpret experimental results;Q00_method_objectives->Integrate information from other researchers and discuss your results within a larger context;Q00_method_objectives->Follow lab safety rules;Q00_method_objectives->Ability to work in a team;Q00_Activities interest->Introductory lecture (day 1);Q00_Activities interest->Stats Intro (day 2);Q00_Activities interest->Initial brainstorming session (day 2);Q00_Activities interest->Group meetings (experiment planning and design);Q00_Activities interest->Team feed-back session (propossal design);Q00_Activities interest->Final group discussion session (day before the last);Q00_Activities interest->Final class discussion session (last day);Q00_activities length->Introductory lecture (day 1);Q00_activities length->Stats Intro (day 2);Q00_activities length->Initial brainstorming session (day 2);Q00_activities length->Group meetings (experiment planning and design);Q00_activities length->Team feed-back sessions;Q00_activities length->Final group discussion session (day before the last);Q00_activities length->Final class discussion session (last day);Q01_Assessment Items 1->Safety and clean-up weekly evaluation;Q01_Assessment Items 1->Individual lab notebook evaluation (design);Q01_Assessment Items 1->Group lab notebook evaluation (design);Q01_Assessment Items 1->Group lab notebook evaluation (results);Q01_Assessment Items 1->Peer-evaluation (Team);Q01_Assessment Items 1->Final exam;Q02_Learning Objectives->State a hypothesis;Q02_Learning Objectives->Design an experimental strategy to answer specific biological questions;Q02_Learning Objectives->Identify cost-effective (time and money-wise) practical techniques to answer a given question;Q02_Learning Objectives->Write an experimental protocol including all relevant controls;Q02_Learning Objectives->Execute an experimental protocol;Q02_Learning Objectives->Record, analyze and interpret experimental results;Q02_Learning Objectives->Integrate information from other researchers and discuss your results within a larger context;Q02_Learning Objectives->Follow lab safety rules;Q02_Learning Objectives->Ability to work in a team;Q03_Best;Q04_Worst;Q05_final_Open;Q06_On the Electronic Note Book->-I knew OneNote before the course.;Q06_On the Electronic Note Book->-I find OneNote a useful app for the elaboration of the course Notebook.;Q06_On the Electronic Note Book->-I think we had enough previous information about the use of OneNote for the course laboratory notebook.;Q06_On the Electronic Note Book->-I would prefer other applications like Evernote, Google Docs, or MS Word.;Q06_On the Electronic Note Book->-The structure of the Notebook in Sections, Pages, and Subpages was easy to understand and use.;Q06_On the Electronic Note Book->-I would recommend to use OneNote for the ELN next year.;Q07_On the Electronic Note Book->-It overall allowed us to save time through the whole course.;Q07_On the Electronic Note Book->-It helped us in the preparation of the final version to be presented.;Q07_On the Electronic Note Book->-It made it easier working in groups.;Q07_On the Electronic Note Book->-It could be useful for other practical courses.;Q08_On the Electronic Note Book->-Synchronization issues hindered our team-working.;Q08_On the Electronic Note Book->-Conflicts of versions were very frequent.;Q08_On the Electronic Note Book->-Access to the ELN was slow.;Q08_On the Electronic Note Book->-We missed several word-processing features.;Q08_On the Electronic Note Book->-Some features of the application did not work properly.;Q09_On the Electronic Note Book->-The template helped us to prepare the final version of the notebook.;Q09_On the Electronic Note Book->-The structure of the template matches the evaluation rubric.;Q09_On the Electronic Note Book->-The structure of 4 independent notes helped to understand each step of the work in a research lab.;Q09_On the Electronic Note Book->-The word limit in some sections of the template is appropriate (1;Q09_On the Electronic Note Book->-We had to modify some sections of the template to suit our experimental work.;Q09_On the Electronic Note Book->-The template will facilitate an even evaluation.;Q09_On the Electronic Note Book->-The use of an ELN with OneNote in this course will help us in future laboratory work (TFG, TFM, etc.).;Q10_final_Open On the ELN;Q11_Project desing teams session;Q12
134046;20/12/2022 11:56:14;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo23;;y;5 : Flies;1;4;1;1;2;2;3;3;1;3;2;5;5;4;5;5;5;5;3;5;1;4;4;4;2;4;3;1;2;2;2;1;2;2;5;3;3;3;1;3;4;4;3;5;5;5;4;2;5;Los profesores son buenísimos, se preocupan porque aprendamos y entendamos las cosas y están dispuestos siempre para ayudar a resolver cualquier problema;Se dedica demasiado tiempo a charlas y considero que es mejor emplearlo en desarrollar y evaluar experimentos;Estaría bien o mejoraría la experiencia en el laboratorio que los materiales y reactivos sean de calidad y adecuados.;2;5;4;3;5;5;5;5;5;5;3;4;2;3;4;5;5;5;3;3;3;5;;;
134025;20/12/2022 11:48:19;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo24;;y;3 : Transcription;3;2;3;1;5;4;3;3;1;3;2;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;2;2;2;2;2;2;2;5;5;5;5;-1;-1;3;4;4;4;4;4;4;5;5;El trabajo en equipo con compañeros es muy positivo en cienciaEl buen feedkback con los profesores ayuda mucho a confiar en ti como científico y sentirte parte del proyecto;Algunos experimentos no se pueden realizar por falta de tiempoA veces hay mucha demanda de los aparatos de laboratorio que, debido a la poca cantidad que hay de algunos, dificultaban la realización de los experimentos;;5;4;4;1;5;5;5;5;5;5;1;1;1;1;3;1;2;5;5;5;5;5;Trabajar con OneNote nos ha permitido comparar nuestros resultados con nuestros compañeros (cuando compartíamos experimentos)No organiza demasiado bien el texto y las tablas por lo que a la hora de pasarlo en pdf es necesario reordenarlo primero con Word;;
134037;20/12/2022 11:51:24;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo25;;y;1 : Biochemistry;5;3;5;1;5;5;2;2;2;3;2;5;5;4;5;3;3;3;3;3;3;4;4;5;5;5;5;2;2;2;2;2;2;2;-1;5;5;5;-1;-1;4;5;5;4;5;4;4;5;5;;;;5;5;4;2;3;5;4;5;5;5;1;1;1;1;1;5;5;5;3;2;5;5;;;
134048;20/12/2022 11:54:01;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo26;;y;1 : Biochemistry;4;2;5;1;5;3;3;3;3;3;3;4;5;4;5;4;5;5;5;5;2;4;2;3;1;5;5;3;2;2;3;1;2;2;4;5;4;4;5;3;5;5;4;5;4;5;5;5;5;Hemos aprendido a ser más autónomos y diseñar experimentos de 0;Creo que probablemente la forma de docencia en las distintas ramas no ha sido igual;;1;4;3;1;4;5;4;3;5;5;3;2;1;5;1;2;3;3;3;3;4;5;;;
134015;20/12/2022 11:48:27;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo27;;y;4 : Yeast;2;4;2;2;5;4;3;3;3;3;3;5;5;4;5;3;5;5;3;5;2;3;3;4;3;5;5;2;3;2;2;2;2;2;1;5;3;4;5;3;5;4;3;4;2;4;4;3;5;Trabajo en equipoDinamismoPuesta en comúnLibertad de trabajo;FrustraciónPoca coordinación y comunicación entre los profesoresOrientaciones e instrucciones poco claras;Por favor, me gustaría que los profesores dentro de una rama y entre ramas tuviesen mayor comunicación y mayor consenso en cómo llevar los experimentos y hacer las propuestas de preguntas e hipótesis. Entiendo que sea una asignatura diseñada para que sea más libre y que los estudiantes trabajemos de manera más autónoma, pero hubiese agradecido un poco más de orientación y consenso entre los profesores. ;5;5;3;1;5;5;3;3;5;5;5;5;5;5;5;5;5;5;3;3;2;5;Nada más que añadir;Poder trabajar todos de manera simultáneaPoder crear muchas pestañas y secciones dentro del cuadernoFácil y cómo de usar;Problemas de sincronizaciónEn algunas versiones del OneNote no muestran todas las pestañasProblemas de versionesFunciona mejor la versión web
134061;20/12/2022 12:02:17;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo28;;y;4 : Yeast;4;2;2;1;3;4;3;3;2;3;3;5;5;3;4;3;3;4;3;3;2;3;3;4;3;3;3;1;2;2;1;2;2;2;2;4;4;4;3;-1;5;5;4;4;4;3;4;5;5;La independecia que se nos da;Demasiadas horas dedicadas a plantear un protocolo.  Además no se nos dijeron que cosas podíamos hacer antes de empezar a plantear la shi`´oteisis por lo que muchas de las pensadas no eran viable y tuvimos que empezar de cero muchas veces.;;4;3;3;2;4;3;3;2;4;3;5;5;4;3;3;3;3;3;1;2;3;2;;;
134063;20/12/2022 12:03:59;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo29;;y;2 : Metabolism;5;2;5;3;3;5;3;3;3;3;3;5;5;5;5;5;5;5;4;5;2;3;1;5;3;5;5;1;1;1;2;2;2;2;2;3;5;5;3;2;3;4;4;4;5;5;4;4;4;;;;5;3;4;2;3;3;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;;;
134062;20/12/2022 12:02:37;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo30;;y;2 : Metabolism;4;5;5;2;3;5;3;3;3;2;2;3;5;5;4;4;4;4;3;3;1;3;3;4;1;4;4;1;2;2;2;2;2;2;4;5;4;5;5;5;4;4;3;4;4;4;4;5;4;;;;5;1;4;5;4;1;5;5;5;3;2;2;1;2;2;3;3;3;3;3;3;3;;;
134039;20/12/2022 11:52:04;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo31;;y;1 : Biochemistry;4;3;4;1;5;5;3;3;3;2;2;4;5;4;3;4;5;5;3;5;2;3;1;3;4;5;5;1;1;1;3;3;2;2;3;4;5;4;5;3;3;4;2;4;5;5;4;2;5;Que la elección de grupos la hagan los profesores y no los alumnosEl apoyo durante las prácticas por parte de los ayudantesLa libertad dada en el laboratorio a la hora de hacer los experimentos ;;;4;4;4;1;5;5;3;5;5;5;4;1;2;1;1;5;4;3;4;5;4;5;Cómo estamos divididos en diferentes grupos, el Onenote permite ver el trabajo que están haciendo otros compañeros de forma simultánea y así tener una idea de en lo que están trabajando.;Se proporcionan otras perspectivas sobre tu tema que te pueden ayudar a plantearlo de una manera más clara ;La duración de dicha sesione es demasiado larga y aunque sea útil no se llega a ninguna conclusión clara 
134021;20/12/2022 11:39:57;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo32;;y;5 : Flies;5;4;3;2;5;4;3;3;3;3;1;5;5;5;5;5;5;5;2;5;2;2;4;4;3;3;3;1;2;2;2;1;2;2;3;3;4;4;4;2;4;4;4;4;3;4;4;4;3;Ayuda a comprender para qué se hace experimento, a establecer hipótesis, a saber cómo abordar una cuestión científica...;Los anticuerpos de que se dispone son muy inespecíficos, creo que habría que cambiar la vía de estudio por una contra la que haya un anticuerpo específico.;;5;4;4;1;4;5;4;4;4;4;1;1;1;4;1;5;4;4;4;1;4;4;;Ayuda a saber a qué se van a dedicar el resto de ramas.;Me pareció poco útil puesto que se abordaron más bien cuestiones semánticas que técnicas.
134043;20/12/2022 11:57:30;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo33;;y;4 : Yeast;4;3;3;2;5;4;3;3;3;3;3;4;4;4;4;4;4;3;3;4;1;4;4;4;4;3;4;1;2;2;2;3;1;2;3;4;4;3;-1;3;4;4;3;4;4;4;3;2;4;Aprender a gestionar el tiempo que se tiene para realización de los experimentos. Aprender a plantear una hipótesis y pensar posibles soluciones a los problemas planteados en el laboratorio. Ejecución de protocolos y organización en la ejecución de los experimentos. Pensar los posibles resultados que deberían salir en cada unos de lo los experimentos y sacar conclusiones acerca de los resultados obtenidos. Creo que nos pueden servir de gran da para futuras prácticas e incluyo para el trabajo de fin de grado.  ;Pienso que ha sido una asignatura muy frustrante y compleja. Hemos tenido que dedicarle mas tiempo extra del que imaginaba. En ocasiones me he sentido ofendida y menospreciada por parte de ciertos profesores. Pienso que con ciertas formas y maneras no se consigue hacer que los alumnos tengan interés por aprender por mucho conocimiento que presente el profesor. No estoy de acuerdo en realizar tantas reuniones porque era imposible organizarse los experimentos a realizar cada día, por lo que siempre íbamos con retraso. Creo que con reuniones más cortas y mas didácticas se hubiese aprendido mas y de manera mas amena y agradable. ;Mas tiempo para la asignatura o plantearla para que podamos hacer experimentos con repetición para que nos pueda salir algún resultado. ;1;3;1;4;4;2;3;2;3;3;5;5;5;4;4;3;2;2;1;3;1;1;El One Note no me ha gustado ni me ha atrevido útil. ;Muy largo el diseño del proyecto y el y cuaderno a realizar y costoso. ;Muy largo el diseño del proyecto y el y cuaderno a realizar y costoso. 
134031;20/12/2022 11:53:08;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo34;;y;3 : Transcription;2;3;4;1;4;5;3;3;3;3;2;5;5;5;5;4;5;5;3;5;2;3;5;5;5;2;2;1;2;2;2;2;1;1;4;4;4;4;4;3;4;4;3;4;5;4;4;5;4;Al tener una mayor autonomía y responsabilidad somos más conscientes del trabajo que estamos haciendo y tenemos el procedimiento más claro que en prácticas tradicionales. Además. al tener una pregunta concreta que responder hay en general una mayor motivación por nuestra parte para llegar a responderla.;El límite a nivel de tiempo para los experimentos y a nivel de materiales para el diseño de los mismos. Además, la puesta en común con los otros grupos aporta bastante poco si cada grupo recibe instrucciones diferentes por parte de cada profesor y lo único que se hace es debatir sobre esto.;;5;5;3;2;4;4;5;4;5;5;3;4;4;5;2;4;5;5;5;5;3;3;Ventaja: poder compartir información entre los diferentes gruposDesventaja: problemas de sincronización y acceso;Al diseñar los experimentos en conjunto podemos tener diferentes perspectivas e integrarlas para determinar cuáles son los experimentos más óptimos a realizar.;En ocasiones había excesivo tiempo dedicado a temas como concretar la hipótesis, y que podía haber sido dedicado a plantear otros experimentos o a discutir otros aspectos.
134044;20/12/2022 11:58:57;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo35;;y;3 : Transcription;3;4;5;1;5;2;3;3;3;3;2;5;5;5;5;3;4;5;3;5;4;4;3;5;1;5;3;2;2;2;2;1;2;2;-1;5;5;5;5;2;3;4;4;4;4;4;3;4;5;Nuestros profesores: Luis y Julián.;La falta de pipetas en el laboratorio. Las sesiones de puesta en común.;;5;5;5;2;5;5;4;4;5;3;1;1;2;3;1;2;3;2;2;3;4;4;Las distintas secciones del cuaderno y qué debíamos poner en ellas es confuso. No entendí cómo había que completar el lab record (poniendo la fecha de cada día). Respecto al apartado de metodología, tampoco me queda claro qué había que poner. Si en las primeras sesiones se hubieran dado pautas más claras de cómo elaborar el cuaderno el trabajo habría sido más fácil. Por otro lado, el cuaderno de laboratorio electrónico es muy útil para el trabajo en equipo y dentro de la rama. ;Se escucharon todas las ideas y se tuvo muy en cuenta el interés de los alumnos.;Es difícil empezar a proponer experimentos sin haber podido hacer un poco de búsqueda previa sobre trabajos y estudios sobre la ruta.
134019;20/12/2022 11:37:01;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo36;;y;4 : Yeast;3;3;4;2;3;4;3;3;2;3;3;5;5;5;5;3;3;5;3;5;3;4;4;5;5;5;5;1;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;3;4;3;3;4;4;Aprender a trabajar en las condiciones de un laboratorio, con una pregunta que nosotros mismos nos hemos planteado.;No hay tiempo suficiente para obtener resultados que sean significativos (repetir experimentos).;;2;3;3;3;4;4;4;4;4;4;3;3;2;3;3;4;4;4;4;3;3;4;;;
134022;20/12/2022 11:51:31;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo37;;y;5 : Flies;2;3;3;1;5;4;3;3;3;3;2;5;5;3;5;5;5;5;3;5;3;3;4;5;1;5;4;1;1;2;2;1;2;2;3;3;4;4;3;3;4;4;3;4;4;4;3;3;5;La semejanza que guarda el modelo con el trabajo en un laboratorio real;Material limitante, reunión de ''feedback'' de todas las ramas;;5;5;5;3;4;4;5;4;5;5;3;3;3;3;2;5;4;5;3;3;4;5;;;
134032;20/12/2022 11:54:14;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo38;;y;5 : Flies;2;3;3;1;4;2;3;3;3;3;2;5;5;3;3;3;3;4;3;3;2;3;4;3;3;2;2;1;1;2;2;2;1;1;2;3;4;4;4;3;4;4;3;3;5;4;3;2;4;Disponer de prácticamente total libertad para diseñar y ejecutar experimentos de laboratorio.;Falta de material y de tiempo para la realización de los experimentos.;Nada adicional que comentar.;4;2;2;5;3;3;3;4;3;2;5;5;3;4;5;5;4;5;5;3;5;5;Pros:  Todos los miembros de cada equipo y de cada rama tenemos acceso al trabajo realizado por los demás. Cons:  Falta de funciones propias de Word que facilitan el trabajo. Además, en la versión online es muy costoso trabajar debido a que se cierra la sesión constantemente. ;Esta sesión permite trabajar posteriormente teniendo los conceptos y los protocolos a realizar mucho más interiorizados. Además, te permite saber cuál es el trabajo del resto de alumnos.;Nada que comentar.
134050;20/12/2022 11:55:31;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo39;;y;4 : Yeast;3;5;4;2;4;1;3;3;3;3;3;5;5;3;5;5;3;5;3;4;1;4;3;4;1;5;3;1;2;2;1;1;1;1;-1;-1;4;3;5;-1;5;4;1;4;5;4;4;2;5;Hemos tenido que aprender a trabajar en equipo, repartir tareas, aprender las normativas de los laboratorios y su metodología general y más específica en algunos casos. Hemos aprendido a valorar tanto los resultados positivos y negativos y aprender de ellos.;En nuestro caso, las sesiones teóricas nos han quitado muchísimo tiempo del tiempo de laboratorio que no nos sobraba. Son clases demasiado lentas que se pueden aprovechar muchísimo más, sacando más tiempo para el laboratorio para poder estar más relajados y llevar a cabo mejor los experimentos que nos hemos propuesto.;La actitud de Castaño no ha sido la adecuada hacia los alumnos, en cuanto al respeto que ha mostrado hacia nosotros. ;3;4;2;4;3;2;2;4;2;3;5;5;5;3;5;5;3;5;3;3;5;2;;- Documento unico para todos- Lo podemos modificar a la vez;- A veces no se actualiza y perdemos todo el progreso- Tarda en actualizar más en unos casos que en otros- Hay muchas herramientas que no tenemos en el OneNote que sí tenemos en otras herramientas como Word
134059;20/12/2022 11:59:22;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo40;;y;5 : Flies;3;3;2;2;5;4;3;3;3;2;2;4;4;4;3;4;4;4;2;4;1;3;4;4;1;4;4;1;2;2;2;1;2;2;3;4;4;4;4;3;4;4;4;4;4;4;4;3;5;Los profesores y el grupo de ayudantes, así como el formato de trabajo que hemos seguido en el grupo de moscas. ;La clase de feedback grupal esta mal planteada, ya que en vez de ser una clase en la que obtenemos ayuda para diseñar nuestros experimentos y recibir feedback sobre posibles alternativas para nuestros estudios, acabo siendo un discusión sobre el léxico y la gramática de nuestras hipótesis, sin mucha ayuda a los estudios en si. Por otra parte, el material quizás fue en algunos casos limitante para poder obtener mejores resultados.;;5;5;4;2;4;4;4;4;4;4;2;4;3;4;4;4;4;4;3;5;4;3;;;
134033;20/12/2022 11:50:43;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo41;;y;4 : Yeast;4;2;4;1;4;5;3;3;3;3;3;4;4;3;4;4;4;3;3;4;2;3;3;4;4;3;3;1;1;3;2;2;3;2;3;4;3;3;4;5;5;5;3;4;4;4;3;3;4;;;;5;2;3;4;4;3;3;4;4;3;5;5;5;3;4;4;4;3;3;4;3;4;;;
134053;20/12/2022 11:55:15;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo42;;y;2 : Metabolism;4;4;4;4;4;4;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;Aprender a desenvolvernos solos y a trabajar de forma mas similar a lo que se trabaja en un laboratorio de investigacion;El curso se enfoca exclusivamente en un laboratorio de investigación, se pierde toda la parte experimental de asignaturas como BMP, muy interesante para aquellos que quieren trabajar en laboratorios no de ivestigacion, sea  clinicos o industriales, que son muchos alumnos. ;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;;;
134045;20/12/2022 11:53:12;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo43;;y;1 : Biochemistry;2;4;4;1;5;2;3;3;3;3;3;5;5;3;5;1;3;5;3;3;1;2;1;3;1;3;3;1;1;1;2;1;3;2;1;1;5;1;5;1;1;5;3;5;5;5;5;3;5;Nos han dejado mayor libertad que en el resto de prácticas hasta ahora y diseñar tus propios experimentos está muy bien;Falta tiempo y ha habido cosas que queríamos hacer que no nos han dejado por este motivo;;1;5;1;1;5;5;3;5;5;3;1;2;3;5;1;5;5;5;5;2;5;1;;;Si es la sesión en la que discutimos las hipótesis, me pareció una perdida de tiempo, ya que empleamos más de 2 horas en discutir cuestiones semánticas que podríamos haber empleado en diseñar/realizar experimentos.
134060;20/12/2022 12:00:01;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo44;;y;3 : Transcription;2;3;3;4;3;5;3;3;3;3;3;5;5;5;5;5;3;4;3;4;1;2;2;5;5;5;5;1;1;1;2;2;2;2;-1;-1;-1;-1;-1;-1;2;3;2;4;4;4;3;4;4;;;;5;4;4;1;4;5;3;3;5;5;4;5;1;3;3;4;4;3;4;4;4;4;;;
134023;20/12/2022 11:41:37;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo45;;y;1 : Biochemistry;4;4;3;2;3;5;3;3;3;3;2;3;4;3;4;4;3;4;2;2;4;3;4;3;2;3;2;3;2;2;2;2;1;3;4;3;5;3;2;4;4;3;4;5;2;3;4;4;4;;;;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;4;3;3;3;;;
134026;20/12/2022 11:49:07;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo46;;y;2 : Metabolism;5;3;2;3;3;5;3;3;2;2;1;5;5;5;3;5;5;5;3;5;5;4;5;5;5;5;5;1;2;3;3;2;3;3;3;3;3;-1;4;-1;4;4;4;3;5;5;5;5;5;Trabajo en equipo, el ambiente y la ayuda de los predoc;Por falta de material a veces había que esta esperando mucho tiempo sin hacer nada a que otros grupos terminasen. Perdíamos tiempo de trabajo;;2;3;2;2;1;2;3;3;4;3;1;1;3;3;3;2;3;2;2;4;2;3;No nos gusta la plantilla que se nos ha dado para hacer el cuaderno final;el trabajo en equipo es muy bueno y las practicas son mas dinamicas ;
134055;20/12/2022 12:00:42;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo47;;y;5 : Flies;3;3;4;2;5;3;3;3;3;3;2;5;4;5;3;4;4;5;3;4;3;3;4;3;1;3;4;2;1;2;2;1;2;2;2;2;4;4;5;3;2;4;3;4;4;5;4;2;4;Esta asignatura me ha servido para potenciar mi capacidad en trabajo en equipo y como integrante de un grupo aun mayor (el laboratorio) y la capacidad para interpretar y solucionar dificultades.Además hemos contado en nuestro grupo con dos grandes profesores además de los colaboradores, los cuales nos han apoyado y nos han dado la capacidad de análisis y superación de las pequeñas dificultades que nos han surgido ;La clase de hipótesis no fue bien dirigida, pienso que esa clase ha de ser una reunión que sirva para que los demás equipos sepan en qué van a trabajar los demás los laboratorios y sugerir propuestas para enriquecer;;1;3;4;1;2;4;4;4;5;4;4;3;1;1;3;3;4;4;3;2;3;4;;Da a comprender una visión general que tienen demás grupos y opiniones;A veces el trabajo en equipo puede ser más lento de lo esperado al necesitar de la opinión y propuesta de todos los integrantes
134047;20/12/2022 11:56:48;;;BIOQUÍMICA EXPERIMENTAL AVANZADA I (Grupo 2314);;;Anónimo48;;y;3 : Transcription;3;3;4;2;4;3;3;3;2;3;3;5;5;5;3;3;3;5;3;4;5;2;5;5;3;5;3;2;2;2;2;1;2;1;-1;3;4;4;4;2;3;4;2;4;4;4;3;1;4;Me gustó el debate en grupo tanto en el diseño de los experimentos como en la interpretación de resultados. Es muy interesante tener el lugar para debatir y tener la libertad de pensar posibles explicaciones a nuestros resultados, incluso aspirar a mejoras, pensar futuros experimentos. Es algo muy similar al proceso real de investigación y eso sirve mucho.Los profes tuvieron siempre super buena predisposición y nos guiaron en todo el proceso.;Lo más negativo del curso es que hay experimentos que no pueden hacerse en 4 horas y nos vimos a obligados a quedarnos mucho más tarde que lo estipulado.;;1;3;5;2;4;3;3;3;5;4;1;1;1;4;3;3;3;2;3;5;4;4;El modelo de cuaderno es util como guía pero las secciones no son del todo claras. Tener tantas secciones separadas termina siendo contraproducente, cuando quizás sería mejor dejar organizarlo como nos resulte mejor. Además, los criterios de nuestros profes eran un poco diferentes a lo que planteaba el cuaderno, lo que lo vuelve más difícil de interpretar;;
